sumact,max,stdev,fivecount,log,state
5415,561,152.224927563,0,6.61677109767,wake
5513,493,142.218711514,0,7.32972090552,wake
6345,561,142.450091511,0,5.20469261939,wake
6296,561,151.945259567,0,6.1059454739,wake
6383,561,151.664589206,0,5.85981240436,wake
6390,561,153.985435304,0,6.0106352941,wake
6353,561,160.632381246,0,6.51342874616,wake
6394,561,161.174941926,0,6.45103845357,wake
6925,561,158.079064003,0,6.04342511692,wake
7536,849,191.22271981,0,6.64897423816,wake
7616,849,190.629570983,0,7.10479323241,wake
8675,1361,287.157431518,1,7.20050917404,wake
9479,1361,311.606559012,2,7.00881318544,wake
9092,1361,311.794078871,2,7.26530121274,wake
9303,1361,306.989902114,2,7.04025471128,wake
9367,1361,303.519105855,2,7.10479323241,wake
9387,1361,299.47437286,2,7.23244801655,wake
9629,1361,293.815523594,2,7.04025471128,wake
9449,1361,295.516915961,2,7.29710931993,wake
9082,1361,284.587353733,2,7.74405918631,wake
9444,1361,299.225524121,2,7.16751649089,wake
8405,993,221.924740568,1,8.21597500265,wake
8516,1361,282.632379434,1,7.90073066405,wake
8956,1361,311.687442648,2,6.68017260902,wake
8867,1361,312.085069294,2,6.14749447681,wake
8401,1361,319.296958362,2,6.5490760849,wake
8435,1361,318.036999944,2,6.34710753072,wake
8034,1361,324.701181308,2,6.71373280551,wake
7777,1361,325.419780181,2,6.25227342805,wake
7500,1361,329.039858636,2,6.14749447681,wake
7149,1361,327.957858791,2,5.97673374242,wake
6456,1361,308.486234933,2,5.85981240436,wake
6158,1361,307.65124813,2,6.25227342805,wake
4973,993,186.880608691,1,6.45103845357,wake
4257,407,70.9571299146,0,6.28320372874,wake
4241,407,66.9824426178,0,5.97673374242,wake
3923,303,51.2870539684,0,7.00881318544,wake
4083,407,68.5963347626,0,5.94164242261,wake
4098,407,68.844234119,0,5.94164242261,wake
4145,407,70.8212370624,0,5.82028156561,wake
4375,462,92.7665528805,0,6.1059454739,wake
4662,462,103.683171248,0,5.94164242261,wake
4864,462,115.015423396,0,6.48479693349,wake
5092,462,114.444143165,0,6.38449506279,wake
5088,462,114.225716394,0,6.48479693349,wake
5291,462,120.45475341,0,6.4161004022,wake
5421,462,116.137541611,0,5.75359019111,wake
5704,462,123.128175569,0,6.0106352941,wake
5377,462,123.694978148,0,6.4161004022,wake
5288,462,121.71220935,0,6.81114099298,wake
5389,462,113.929573066,0,7.13556489108,wake
5550,462,112.137033516,0,7.0730445341,wake
5791,462,113.615538005,0,7.10479323241,wake
5910,462,118.835420405,0,6.81114099298,wake
