sumact,max,stdev,fivecount,log,state
3653,389,90.0768983649,0,3.99573227355,wake
4021,649,142.142048335,1,6.03043792139,wake
3944,649,141.738357211,1,6.1416635565,wake
4160,649,151.388211153,1,5.61512051684,wake
4375,649,166.764904381,2,5.82028156561,wake
4784,649,179.536798191,3,4.63758615973,wake
5000,649,193.035464297,4,6.17614973257,wake
4911,649,188.798645576,4,6.96357934362,wake
5232,649,188.661147488,4,6.26785815906,wake
5498,649,183.775302761,4,6.1416635565,wake
5934,649,200.85979474,5,6.54126354516,wake
5610,649,179.357822722,4,7.4754327167,wake
6155,649,191.615214626,5,6.23644196283,wake
5753,649,192.294949541,5,7.18826412308,wake
5629,649,193.850838582,4,7.25190388317,wake
5642,649,189.715664438,4,7.31535800152,wake
5600,649,197.581966114,4,7.2205901701,wake
5912,649,201.137917621,5,6.50938833663,wake
5960,649,200.292940227,5,6.40717177146,wake
5638,649,200.81300233,5,6.7333412769,wake
5208,649,183.856193804,4,7.4754327167,wake
5681,649,202.656758843,5,5.93447393313,wake
5562,649,204.790938695,5,5.64439089914,wake
5287,649,183.080830444,4,4.91202300543,wake
5573,649,191.884464246,5,5.36944785247,wake
5118,649,190.446880483,5,5.99721227376,wake
4868,649,175.955852147,4,4.4657359028,wake
4469,649,162.734021965,3,5.54329478227,wake
4007,649,150.573775621,2,6.30330490806,wake
4079,649,150.855859933,2,6.03043792139,wake
4044,649,150.145453287,2,5.64439089914,wake
4046,649,152.276502893,2,5.89783979995,wake
3589,503,109.943123824,1,5.61512051684,wake
3447,503,105.939268316,1,6.76832099579,wake
3383,341,81.7257026656,0,7.2205901701,wake
3855,503,106.209025713,1,5.61512051684,wake
3821,503,106.769600632,1,6.03043792139,wake
3721,503,107.48935717,1,6.37527840768,wake
3865,503,103.550217861,1,5.99721227376,wake
3724,503,102.667099566,1,6.60211882088,wake
3838,503,104.155607032,1,5.93447393313,wake
3730,503,99.1284400112,1,6.83188247728,wake
3928,503,104.620493303,1,6.06890420222,wake
3866,503,104.697136905,1,6.37527840768,wake
3917,503,103.03767226,1,6.40717177146,wake
