sumact,max,stdev,fivecount,log,state
720,121,30.5485561969,0,5.00733318523,sleep
829,149,36.623242685,0,1.0,wake
1059,292,66.8906356888,0,4.4657359028,wake
1038,292,66.7529560608,0,4.87120101091,wake
1074,292,65.9858209878,0,4.58351893846,wake
1059,292,66.0208841417,0,5.09434456222,wake
1018,292,66.9071140071,0,4.78418963392,wake
1212,292,74.3674275857,0,4.4657359028,wake
1450,292,81.0576808146,0,3.7080502011,wake
1552,292,81.8693500413,0,4.40119738166,wake
1727,292,82.7181387375,0,3.63905732962,wake
1698,292,81.2645591351,0,6.00394630595,wake
1500,224,69.3336652922,0,6.67675380227,wake
1949,292,91.8523919382,0,5.75359019111,wake
2130,292,89.4642785857,0,4.17805383035,wake
2061,292,92.0256951695,0,4.97029191355,wake
2077,292,91.5788757094,0,1.0,wake
1832,292,91.8748631356,0,6.31320597904,wake
1777,292,91.5065441324,0,6.41164605186,wake
1835,292,97.0620812627,0,5.90527477844,wake
1784,292,96.3397509808,0,6.14749447681,wake
1815,292,99.1098236446,0,5.7184988713,wake
1936,292,96.8811741504,0,1.0,wake
1514,292,89.5315054949,0,6.60947179518,wake
1374,273,87.8052227539,0,5.7957905456,wake
1371,273,88.2349946774,0,3.07944154168,wake
1387,273,87.783527037,0,1.0,wake
1327,273,89.1277841347,0,3.83321334406,sleep
1358,273,88.2396358409,0,3.30258509299,sleep
1208,273,82.1216287269,0,1.0,sleep
984,273,73.5134584374,0,1.0,sleep
849,273,71.2892498408,0,1.0,wake
655,273,65.3548919727,0,4.13549421593,sleep
566,273,62.6837109547,0,1.0,sleep
567,273,62.6625885198,0,1.0,sleep
605,311,70.2151116553,0,1.0,wake
507,311,67.5102108679,0,4.4657359028,wake
521,311,67.5748614853,0,3.30258509299,wake
506,311,67.6519805785,0,4.21887582487,wake
484,311,67.5162766972,0,4.78418963392,sleep
524,311,67.4985008652,0,1.0,sleep
548,311,67.2754819841,0,1.0,sleep
547,311,67.2944843137,0,1.0,wake
546,311,67.3134459079,0,1.0,wake
