act,slpstate,time
724,1,16:57:30
526,1,16:58:00
463,1,16:58:30
325,1,16:59:00
242,1,16:59:30
370,1,17:00:00
122,1,17:00:30
314,1,17:01:00
335,1,17:01:30
162,1,17:02:00
285,1,17:02:30
250,1,17:03:00
420,1,17:03:30
219,1,17:04:00
250,1,17:04:30
266,1,17:05:00
127,1,17:05:30
173,1,17:06:00
219,1,17:06:30
205,1,17:07:00
382,1,17:07:30
122,1,17:08:00
285,1,17:08:30
325,1,17:09:00
145,1,17:09:30
70,1,17:10:00
136,1,17:10:30
102,1,17:11:00
56,1,17:11:30
234,1,17:12:00
13,1,17:12:30
8,1,17:13:00
51,1,17:13:30
12,1,17:14:00
81,1,17:14:30
127,1,17:15:00
136,1,17:15:30
205,1,17:16:00
156,1,17:16:30
150,1,17:17:00
131,1,17:17:30
136,1,17:18:00
205,1,17:18:30
370,1,17:19:00
266,1,17:19:30
198,1,17:20:00
99,1,17:20:30
219,1,17:21:00
463,1,17:21:30
294,1,17:22:00
394,1,17:22:30
370,1,17:23:00
219,1,17:23:30
285,1,17:24:00
294,1,17:24:30
325,1,17:25:00
173,1,17:25:30
493,1,17:26:00
394,1,17:26:30
191,1,17:27:00
212,1,17:27:30
212,1,17:28:00
168,1,17:28:30
136,1,17:29:00
78,1,17:29:30
122,1,17:30:00
122,1,17:30:30
78,1,17:31:00
394,1,17:31:30
226,1,17:32:00
85,1,17:32:30
65,1,17:33:00
72,1,17:33:30
22,1,17:34:00
219,1,17:34:30
67,1,17:35:00
109,1,17:35:30
118,1,17:36:00
242,1,17:36:30
102,1,17:37:00
198,1,17:37:30
168,1,17:38:00
191,1,17:38:30
37,1,17:39:00
185,1,17:39:30
131,1,17:40:00
226,1,17:40:30
325,1,17:41:00
150,1,17:41:30
173,1,17:42:00
40,1,17:42:30
20,1,17:43:00
78,1,17:43:30
78,1,17:44:00
314,1,17:44:30
250,1,17:45:00
335,1,17:45:30
141,1,17:46:00
74,1,17:46:30
95,1,17:47:00
136,1,17:47:30
54,1,17:48:00
67,1,17:48:30
26,1,17:49:00
162,1,17:49:30
42,1,17:50:00
26,1,17:50:30
92,1,17:51:00
37,1,17:51:30
8,1,17:52:00
102,1,17:52:30
145,1,17:53:00
16,1,17:53:30
88,1,17:54:00
136,1,17:54:30
205,1,17:55:00
226,1,17:55:30
179,1,17:56:00
81,1,17:56:30
370,1,17:57:00
304,1,17:57:30
258,1,17:58:00
198,1,17:58:30
118,1,17:59:00
179,1,17:59:30
74,1,18:00:00
65,1,18:00:30
28,1,18:01:00
40,1,18:01:30
40,0,18:02:00
49,0,18:02:30
141,0,18:03:00
0,0,18:03:30
2,1,18:04:00
0,1,18:04:30
0,1,18:05:00
0,1,18:05:30
0,1,18:06:00
61,1,18:06:30
131,1,18:07:00
70,1,18:07:30
118,0,18:08:00
33,0,18:08:30
19,1,18:09:00
49,1,18:09:30
0,0,18:10:00
0,1,18:10:30
34,1,18:11:00
24,0,18:11:30
0,1,18:12:00
22,1,18:12:30
14,0,18:13:00
0,0,18:13:30
42,0,18:14:00
33,0,18:14:30
0,0,18:15:00
0,0,18:15:30
0,0,18:16:00
6,0,18:16:30
0,0,18:17:00
0,0,18:17:30
0,0,18:18:00
0,0,18:18:30
1,0,18:19:00
14,1,18:19:30
0,0,18:20:00
0,1,18:20:30
0,0,18:21:00
20,0,18:21:30
13,0,18:22:00
36,0,18:22:30
0,0,18:23:00
0,0,18:23:30
3,1,18:24:00
10,0,18:24:30
0,0,18:25:00
0,0,18:25:30
51,1,18:26:00
0,0,18:26:30
0,0,18:27:00
0,0,18:27:30
56,0,18:28:00
13,0,18:28:30
0,0,18:29:00
0,0,18:29:30
0,0,18:30:00
0,0,18:30:30
0,0,18:31:00
0,0,18:31:30
0,0,18:32:00
0,0,18:32:30
0,0,18:33:00
0,0,18:33:30
0,0,18:34:00
0,0,18:34:30
0,0,18:35:00
0,0,18:35:30
0,0,18:36:00
0,0,18:36:30
0,0,18:37:00
0,0,18:37:30
0,0,18:38:00
0,0,18:38:30
0,0,18:39:00
0,0,18:39:30
0,0,18:40:00
0,0,18:40:30
0,0,18:41:00
0,0,18:41:30
0,0,18:42:00
0,0,18:42:30
0,0,18:43:00
0,0,18:43:30
0,0,18:44:00
0,0,18:44:30
0,0,18:45:00
0,0,18:45:30
0,0,18:46:00
0,0,18:46:30
0,0,18:47:00
0,0,18:47:30
0,0,18:48:00
0,0,18:48:30
0,0,18:49:00
0,0,18:49:30
0,0,18:50:00
0,0,18:50:30
0,0,18:51:00
0,0,18:51:30
9,0,18:52:00
0,0,18:52:30
0,0,18:53:00
0,0,18:53:30
0,0,18:54:00
0,0,18:54:30
0,0,18:55:00
0,0,18:55:30
0,1,18:56:00
0,1,18:56:30
0,1,18:57:00
0,1,18:57:30
0,1,18:58:00
0,1,18:58:30
0,1,18:59:00
0,1,18:59:30
1024,1,19:00:00
347,0,19:00:30
23,0,19:01:00
0,0,19:01:30
0,0,19:02:00
0,0,19:02:30
0,0,19:03:00
0,0,19:03:30
0,0,19:04:00
0,0,19:04:30
0,0,19:05:00
0,0,19:05:30
0,0,19:06:00
0,0,19:06:30
0,0,19:07:00
0,0,19:07:30
0,0,19:08:00
0,0,19:08:30
0,0,19:09:00
0,0,19:09:30
0,0,19:10:00
0,0,19:10:30
0,0,19:11:00
0,0,19:11:30
0,0,19:12:00
0,0,19:12:30
0,0,19:13:00
0,0,19:13:30
0,0,19:14:00
0,0,19:14:30
0,0,19:15:00
0,0,19:15:30
0,0,19:16:00
0,0,19:16:30
0,0,19:17:00
1,0,19:17:30
0,0,19:18:00
0,0,19:18:30
1,0,19:19:00
0,0,19:19:30
0,0,19:20:00
0,0,19:20:30
0,0,19:21:00
0,0,19:21:30
0,0,19:22:00
0,0,19:22:30
0,0,19:23:00
0,0,19:23:30
0,0,19:24:00
0,0,19:24:30
0,0,19:25:00
0,0,19:25:30
0,0,19:26:00
0,0,19:26:30
0,0,19:27:00
0,1,19:27:30
0,0,19:28:00
0,0,19:28:30
0,0,19:29:00
44,0,19:29:30
0,0,19:30:00
0,0,19:30:30
0,0,19:31:00
