sumact,max,stdev,fivecount,log,state
502,63,24.46610873,0,2.791759469,sleep
743,294,63.55743559,0,1,sleep
986,294,79.71604367,0,1,sleep
1307,370,106.4288047,1,1,wake
1510,370,113.9302,1,1,wake
1656,370,117.5735028,1,2.098612289,wake
1693,370,116.649679,1,1,wake
1818,370,118.6648943,1,4.610917913,wake
1819,370,118.6437846,1,1,wake
1781,370,119.7825609,1,4.850147602,wake
1839,370,118.4641597,1,5.143134726,wake
1858,370,114.3160614,1,6.683579767,wake
1925,370,116.2967469,1,6.552959585,wake
1897,294,103.0734366,0,6.913503006,wake
2144,370,113.022522,1,6.521460918,wake
2203,370,114.8781549,1,6.323009979,wake
2369,370,115.8070028,1,4.688879454,wake
2264,370,114.5227571,1,6.187385806,wake
2517,370,110.0514815,1,1,wake
2453,370,112.4978307,1,5.204692619,wake
2454,370,112.2404943,1,5.304065093,wake
2259,370,108.1020682,1,6.552959585,wake
2475,370,111.7180763,1,4.610917913,wake
2133,370,107.7894111,1,5.442651256,wake
1864,370,102.2408454,1,5.844187086,wake
1607,258,80.80075436,0,3.63905733,wake
1389,258,70.61606454,0,1,wake
1178,258,64.43283694,0,4.610917913,wake
1280,258,69.79504007,0,5.304065093,wake
1369,258,75.09701662,0,4.688879454,sleep
1401,258,74.19780513,0,3.079441542,wake
1306,258,76.36466398,0,4.583518938,sleep
1210,258,77.64951783,0,5.060443011,wake
1044,234,61.79089161,0,1,wake
989,234,63.05783438,0,4.433987204,wake
935,234,62.53368616,0,1,wake
789,234,60.70631881,0,3.944438979,wake
764,234,61.16328653,0,4.401197382,wake
650,234,51.30738367,0,6.187385806,sleep
852,294,70.90597396,0,6.455321115,wake
1316,304,98.57653541,0,1,sleep
1646,370,118.9749874,1,1,sleep
1914,370,125.2558524,1,1,sleep
2078,370,129.4042025,1,4.526360525,wake
2226,370,129.696569,1,3.564949357,wake
2586,370,136.8412532,2,1,wake
2913,370,144.2370073,3,1,wake
2960,370,142.3290119,3,1,wake
2929,370,143.6598827,3,4.583518938,wake
2653,370,141.4621269,3,6.683579767,wake
2464,370,142.874537,3,6.717027701,wake
2164,358,136.9556411,2,6.913503006,wake
2266,370,143.9457901,3,6.620400866,wake
2332,370,145.250293,3,6.455321115,wake
2451,370,144.9621133,3,6.220355825,wake
2256,370,137.2314,2,6.84932478,wake
2295,370,134.9522667,2,6.880532986,sleep
2678,370,142.2468344,3,4.850147602,sleep
2741,370,139.9391364,3,4.17805383,sleep
2759,370,139.178474,3,3.48490665,wake
2735,370,140.0963614,3,1,wake
2478,370,136.2479358,3,1,wake
2261,370,129.7660716,3,3.079441542,wake
1878,358,117.2324918,2,4.17805383,wake
1584,358,110.3678266,2,5.248495242,wake
1424,358,104.0930445,2,1,wake
1177,358,102.2513942,2,5.143134726,wake
821,358,77.89538161,1,5.276666119,wake
546,95,29.39047465,0,4.688879454,wake
533,95,29.40999182,0,2.791759469,sleep
515,95,29.71299219,0,1,wake
466,95,30.3588851,0,4.610917913,sleep
439,72,25.39863138,0,5.553876892,sleep
710,179,44.23304087,0,2.098612289,sleep
677,179,44.9843359,0,4.33220451,wake
676,179,45.12163455,0,2.609437912,sleep
646,179,44.13491221,0,1,sleep
708,179,44.11818543,0,1,wake
623,179,43.92417709,0,4.931825633,wake
724,179,47.12177739,0,1,wake
684,179,47.69231744,0,1,wake
727,179,47.41674408,0,1,wake
696,179,48.01383729,0,4.433987204,wake
511,122,34.85015543,0,6.187385806,wake
595,179,46.30478737,0,1,wake
592,179,46.39139904,0,1,wake
535,179,46.97299123,0,4.555348061,wake
510,179,46.18889786,0,5.143134726,wake
586,179,46.68715537,0,4.36729583,sleep
551,179,41.71918595,0,5.804021045,sleep
639,179,46.0408204,0,1,sleep
596,179,46.12968262,0,4.891820298,sleep
645,179,45.86081427,0,1,sleep
715,179,46.06026074,0,1,sleep
852,179,54.53033232,0,1,wake
745,168,45.13936093,0,1,wake
739,168,45.3537419,0,2.791759469,wake
743,168,45.20229661,0,3.079441542,wake
682,168,45.90383323,0,4.737669618,wake
626,168,45.05065932,0,5.060443011,wake
639,168,45.84928727,0,3.833213344,wake
529,168,40.94584112,0,2.791759469,wake
556,168,40.38145496,0,1,wake
437,168,39.3314366,0,5.248495242,wake
417,78,26.93749379,0,6.123963979,sleep
562,168,40.73929892,0,5.276666119,wake
701,168,41.53730395,0,1,sleep
