time,mstime,acc_x,acc_y,acc_z
2017-02-20 02:58:00,1487534280000,+0.4,-0.1,-0.9
2017-02-20 02:58:00,1487534280000,-0.4,+0.1,-0.8
2017-02-20 02:58:00,1487534280000,-0.3,-0.0,-0.9
2017-02-20 02:58:00,1487534280000,-0.4,-0.1,-0.9
2017-02-20 02:58:00,1487534280000,-0.2,-0.0,-0.9
2017-02-20 02:58:00,1487534280000,-0.2,-0.2,-1.0
2017-02-20 02:58:00,1487534280000,-0.1,-0.2,-1.0
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.1,-0.9
2017-02-20 02:58:00,1487534280000,+0.0,-0.3,-1.1
2017-02-20 02:58:00,1487534280000,-0.4,-0.1,-0.8
2017-02-20 02:58:00,1487534280000,+0.4,-0.9,-0.3
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.6,-0.4
2017-02-20 02:58:00,1487534280000,-0.4,-0.9,-0.1
2017-02-20 02:58:00,1487534280000,-0.3,-1.0,-0.1
2017-02-20 02:58:00,1487534280000,-0.5,-0.9,-0.0
2017-02-20 02:58:00,1487534280000,-0.3,-1.0,+0.2
2017-02-20 02:58:00,1487534280000,-0.5,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.5,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.5,-0.4,-0.9
2017-02-20 02:58:00,1487534280000,-0.5,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.1,-0.3,-1.0
2017-02-20 02:58:00,1487534280000,-0.5,-0.3,-0.7
2017-02-20 02:58:00,1487534280000,-0.6,-0.4,-0.7
2017-02-20 02:58:00,1487534280000,-0.6,-0.4,-0.6
2017-02-20 02:58:00,1487534280000,-0.6,-0.4,-0.6
2017-02-20 02:58:00,1487534280000,-0.8,-0.3,-0.6
2017-02-20 02:58:00,1487534280000,-0.4,-0.3,-0.8
2017-02-20 02:58:00,1487534280000,-0.3,-0.3,-0.9
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.9
2017-02-20 02:58:00,1487534280000,-0.5,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.5,-0.2,-0.8
2017-02-20 02:58:00,1487534280000,-0.4,-0.2,-0.8
